"","sku","unitcost","quantity","date","PO.no"
"1","1",3.73,976,"2016-01-05",9343
"2","10",1.88,3256,"2016-01-05",19769
"3","100",8.07,2210,"2016-01-05",5419
"4","1000",8.29,2983,"2016-01-05",10812
"5","1001",5.62,3491,"2016-01-05",21359
"6","1002",8.78,3406,"2016-01-05",7490
"7","1003",7.38,3180,"2016-01-05",6063
"8","1004",12.73,3791,"2016-01-05",12206
"9","1005",12.62,2624,"2016-01-05",7496
"10","1006",4.74,2704,"2016-01-05",8680
"11","1007",11.82,3544,"2016-01-05",4859
"12","1008",8.24,2967,"2016-01-05",3785
"13","1009",6.69,3251,"2016-01-05",3885
"14","101",7.27,3122,"2016-01-05",2330
"15","1010",7.08,3594,"2016-01-05",2890
"16","1011",6.7,2518,"2016-01-05",7455
"17","1012",8.41,3345,"2016-01-05",14385
"18","1013",2.59,1719,"2016-01-05",8583
"19","1014",3.38,2980,"2016-01-05",18941
"20","1015",2.72,2583,"2016-01-05",12180
"21","1016",1.12,2891,"2016-01-05",10839
"22","1017",6.35,2684,"2016-01-05",16197
"23","1018",0.31,3284,"2016-01-05",9830
"24","1019",4.38,2822,"2016-01-05",7017
"25","102",6.03,3224,"2016-01-05",56
"26","1020",5.14,3124,"2016-01-05",23140
"27","1021",11.37,2797,"2016-01-05",7283
"28","1022",8.34,2674,"2016-01-05",5019
"29","1023",7.8,3177,"2016-01-05",14307
"30","1024",6.88,2401,"2016-01-05",21531
"31","1025",10.63,2402,"2016-01-05",20413
"32","1026",9.25,3382,"2016-01-05",15448
"33","1027",9.23,2398,"2016-01-05",16677
"34","1028",9.45,2915,"2016-01-05",15944
"35","1029",9.11,3360,"2016-01-05",12180
"36","103",6.59,2683,"2016-01-05",620
"37","1030",7.17,3682,"2016-01-05",3315
"38","1031",12.25,3134,"2016-01-05",22437
"39","1032",7.72,2606,"2016-01-05",5288
"40","1033",3.83,3842,"2016-01-05",14538
"41","1034",10.09,2725,"2016-01-05",3614
"42","1035",5.06,2504,"2016-01-05",1025
"43","1036",9.35,2991,"2016-01-05",12118
"44","1037",2.98,3547,"2016-01-05",9025
"45","1038",4.19,2127,"2016-01-05",14162
"46","1039",5.36,2657,"2016-01-05",7586
"47","104",12.14,3090,"2016-01-05",6859
"48","1040",6.82,2695,"2016-01-05",20361
"49","1041",7.42,3159,"2016-01-05",2446
"50","1042",8.65,2806,"2016-01-05",22044
"51","1043",1.1,3332,"2016-01-05",6442
"52","1044",1.72,2589,"2016-01-05",18145
"53","1045",6,3262,"2016-01-05",21448
"54","1046",2.12,3545,"2016-01-05",3343
"55","1047",2.32,3035,"2016-01-05",9960
"56","1048",3.35,2458,"2016-01-05",1954
"57","1049",6.67,3589,"2016-01-05",5690
"58","105",6.53,3411,"2016-01-05",707
